PLMN;SYSTEM;XCI;xNBID;LOCAL_CID;LAC/TAC;PCI/PSC/BSIC;ARFCN;BAND;RSSI;RSRP/RSCP;RSRQ/ECIO;SNR;CQI;TA;DISTANCE;DELTA_AZI;LAT;LON;SPEED;GPS_ACCURACY;UL;DL;BANDWIDTH;BANDWIDTHS;CA;NR_STATE;NARFCN;NR_BAND;NR_PCI;NR_SS_RSRP;NR_SS_RSRQ;NR_SS_SINR;NR_CSI_RSRP;NR_CSI_RSRQ;NR_CSI_SINR;CLF_LABEL;CLF_LOC;CLF_DESC;DATE;TIME;ROAMING
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-94;-16;;;;;;4.708953;-74.111557;12;64;135;15954;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:31:35;HOME
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-94;-16;;;;;;4.709574;-74.111964;1;1;181;13256;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:31:36;HOME
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-95;-16;;;;;;4.709454;-74.111914;0;12;231;14423;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:31:40;HOME
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-96;-13;;;;;;4.709367;-74.111866;1;15;65;11752;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:31:42;HOME
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-99;-23;;;;;;4.709288;-74.111805;2;15;163;3779;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:31:45;HOME
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-98;-21;;;;;;4.709210;-74.111719;0;14;28;4143;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:31:49;HOME
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-98;-15;;;;;;4.709154;-74.111644;1;12;61;8496;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:31:55;HOME
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-99;-18;;;;;;4.709094;-74.111554;15;7;191;7792;;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:32:48;HOME
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-97;-19;;;;;;4.708996;-74.111464;19;6;98;4924;;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:32:51;HOME
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-101;-18;;;;;;4.708910;-74.111387;22;5;91;2246;;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:32:53;HOME
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-93;-20;;;;;;4.708828;-74.111300;22;5;264;7712;;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:32:55;HOME
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-99;-18;;;;;;4.708752;-74.111202;23;5;451;11903;;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:32:57;HOME
732130;4;3085314;12052;2;717;246;2050;2100 B4;;-104;-24;;;;;;4.708673;-74.111114;19;5;216;7490;;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:32:59;HOME
732130;4;3288067;12844;3;717;404;2050;2100 B4;;-99;-14;;;;;;4.708601;-74.111043;17;4;79;1328;;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:33:01;HOME
732130;4;3288067;12844;3;717;404;2050;2100 B4;;-100;-17;;;;;;4.708523;-74.110946;13;4;112;1803;;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:33:04;HOME
732130;4;3288067;12844;3;717;404;2050;2100 B4;;-99;-17;;;;;;4.708458;-74.110869;2;4;5621;9438;;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:33:09;HOME
732130;4;3288067;12844;3;717;404;2050;2100 B4;;-101;-18;;;;;;4.708361;-74.110783;16;6;219;9251;;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:33:27;HOME
732130;4;3288067;12844;3;717;404;2050;2100 B4;;-101;-18;;;;;;4.708297;-74.110712;14;6;115;2342;;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:33:29;HOME
